bank_ref,utr,credit_amount,date,description,balance
KOTAK20240117C0193,RAZORPAY5634111595034281,104931.22,2024-01-17,RAZORPAY SETTLEMENT RAZORPAY5634111595034281,334484.58
SBIN20240113C0194,RAZORPAY0422711332288985,25769.48,2024-01-13,RAZORPAY SETTLEMENT RAZORPAY0422711332288985,1873943.9
AXIS20240106C0195,RAZORPAY4721970546692758,1232.37,2024-01-06,RAZORPAY SETTLEMENT RAZORPAY4721970546692758,2074762.9
ICICI20240106C0196,RAZORPAY9737147082723590,932.17,2024-01-06,RAZORPAY SETTLEMENT RAZORPAY9737147082723590,4868090.02
ICICI20240102C0197,RAZORPAY6596089319925502,6755.66,2024-01-02,RAZORPAY SETTLEMENT RAZORPAY6596089319925502,7023239.75
SBIN20240108C0198,RAZORPAY5586851276528928,219304.57,2024-01-08,RAZORPAY SETTLEMENT RAZORPAY5586851276528928,9679399.41
KOTAK20240114C0199,RAZORPAY6053844446306000,24470.04,2024-01-14,RAZORPAY SETTLEMENT RAZORPAY6053844446306000,9492133.01
AXIS20240103C0200,RAZORPAY0920981960275233,205.29,2024-01-03,RAZORPAY SETTLEMENT RAZORPAY0920981960275233,8908163.85
AXIS20240123C0201,RAZORPAY2402990155799802,400341.63,2024-01-23,RAZORPAY SETTLEMENT RAZORPAY2402990155799802,5878117.73
KOTAK20240129C0202,RAZORPAY7676945919663955,1968.55,2024-01-29,RAZORPAY SETTLEMENT RAZORPAY7676945919663955,3917349.74
AXIS20240116C0203,RAZORPAY8491966553307704,645.44,2024-01-16,RAZORPAY SETTLEMENT RAZORPAY8491966553307704,6994923.69
KOTAK20240117C0204,RAZORPAY1591030021563213,19655.1,2024-01-17,RAZORPAY SETTLEMENT RAZORPAY1591030021563213,6646562.86
SBIN20240129C0205,RAZORPAY3144158331170303,1823.46,2024-01-29,RAZORPAY SETTLEMENT RAZORPAY3144158331170303,264220.55
AXIS20240128C0206,RAZORPAY8754181563268685,212.05,2024-01-28,RAZORPAY SETTLEMENT RAZORPAY8754181563268685,1793188.28
KOTAK20240117C0207,RAZORPAY9401289743251225,807.27,2024-01-17,RAZORPAY SETTLEMENT RAZORPAY9401289743251225,6667744.36
KOTAK20240115C0208,RAZORPAY5458971480263257,2805.13,2024-01-15,RAZORPAY SETTLEMENT RAZORPAY5458971480263257,2955244.48
ICICI20240105C0209,RAZORPAY7284982474140703,20848.07,2024-01-05,RAZORPAY SETTLEMENT RAZORPAY7284982474140703,1815689.5
SBIN20240106C0210,RAZORPAY9234268344149782,11099.91,2024-01-06,RAZORPAY SETTLEMENT RAZORPAY9234268344149782,8094062.16
KOTAK20240128C0211,RAZORPAY0415914975019803,3900.25,2024-01-28,RAZORPAY SETTLEMENT RAZORPAY0415914975019803,8607207.49
HDFC20240117C0212,RAZORPAY0223288377441975,482.03,2024-01-17,RAZORPAY SETTLEMENT RAZORPAY0223288377441975,3583483.33
KOTAK20240126C0213,RAZORPAY2446176792988425,14778.55,2024-01-26,RAZORPAY SETTLEMENT RAZORPAY2446176792988425,9243153.37
SBIN20240106C0214,RAZORPAY2983347743326831,1177.88,2024-01-06,RAZORPAY SETTLEMENT RAZORPAY2983347743326831,5037251.21
KOTAK20240120C0215,RAZORPAY3446512418938984,11326.52,2024-01-20,RAZORPAY SETTLEMENT RAZORPAY3446512418938984,9471346.7
ICICI20240115C0216,RAZORPAY7835674300038960,5235.14,2024-01-15,RAZORPAY SETTLEMENT RAZORPAY7835674300038960,3209846.24
SBIN20240102C0217,RAZORPAY4296711148375374,8999.21,2024-01-02,RAZORPAY SETTLEMENT RAZORPAY4296711148375374,2851876.57
HDFC20240125C0218,RAZORPAY0496706670336268,2360.92,2024-01-25,RAZORPAY SETTLEMENT RAZORPAY0496706670336268,4726591.48
SBIN20240108C0219,RAZORPAY4138459609454490,181.3,2024-01-08,RAZORPAY SETTLEMENT RAZORPAY4138459609454490,6875969.7
HDFC20240127C0220,RAZORPAY3044058093511871,3567.55,2024-01-27,RAZORPAY SETTLEMENT RAZORPAY3044058093511871,8324195.02
KOTAK20240131C0221,RAZORPAY1139898681809788,6470.65,2024-01-31,RAZORPAY SETTLEMENT RAZORPAY1139898681809788,6094902.08
AXIS20240115C0222,RAZORPAY6682973270216487,417.14,2024-01-15,RAZORPAY SETTLEMENT RAZORPAY6682973270216487,7361087.04
HDFC20240120C0223,RAZORPAY8120995765728941,449808.61,2024-01-20,RAZORPAY SETTLEMENT RAZORPAY8120995765728941,1495930.94
HDFC20240105C0224,RAZORPAY2090883070534967,16100.05,2024-01-05,RAZORPAY SETTLEMENT RAZORPAY2090883070534967,9496907.19
AXIS20240111C0225,RAZORPAY6334727274231830,460.53,2024-01-11,RAZORPAY SETTLEMENT RAZORPAY6334727274231830,1844324.96
SBIN20240125C0226,RAZORPAY6277963044836085,11773.83,2024-01-25,RAZORPAY SETTLEMENT RAZORPAY6277963044836085,3684767.74
ICICI20240129C0227,RAZORPAY6342556383000818,413925.3,2024-01-29,RAZORPAY SETTLEMENT RAZORPAY6342556383000818,5172320.75
SBIN20240125C0228,RAZORPAY1497646136847488,1199.44,2024-01-25,RAZORPAY SETTLEMENT RAZORPAY1497646136847488,2595036.1
KOTAK20240110C0229,RAZORPAY0599604387875357,24843.41,2024-01-10,RAZORPAY SETTLEMENT RAZORPAY0599604387875357,5681722.79
KOTAK20240107C0230,RAZORPAY3958947735228705,1347.08,2024-01-07,RAZORPAY SETTLEMENT RAZORPAY3958947735228705,1119465.2
AXIS20240109C0231,RAZORPAY1289659994973203,749.78,2024-01-09,RAZORPAY SETTLEMENT RAZORPAY1289659994973203,4951925.7
SBIN20240126C0232,RAZORPAY6520575639836520,17421.31,2024-01-26,RAZORPAY SETTLEMENT RAZORPAY6520575639836520,385486.0
KOTAK20240123C0233,RAZORPAY2161070518439055,1835.69,2024-01-23,RAZORPAY SETTLEMENT RAZORPAY2161070518439055,972803.34
ICICI20240110C0234,RAZORPAY5902035713432406,344.75,2024-01-10,RAZORPAY SETTLEMENT RAZORPAY5902035713432406,998499.25
AXIS20240130C0235,RAZORPAY0182727955969051,1219.59,2024-01-30,RAZORPAY SETTLEMENT RAZORPAY0182727955969051,7763317.23
ICICI20240106C0236,RAZORPAY8249839225014257,3207.74,2024-01-06,RAZORPAY SETTLEMENT RAZORPAY8249839225014257,8215931.65
KOTAK20240111C0237,RAZORPAY8157903923555809,303232.02,2024-01-11,RAZORPAY SETTLEMENT RAZORPAY8157903923555809,6894356.63
AXIS20240114C0238,RAZORPAY6604641978575851,28215.84,2024-01-14,RAZORPAY SETTLEMENT RAZORPAY6604641978575851,3047065.15
ICICI20240120C0239,RAZORPAY0863218122764579,12033.37,2024-01-20,RAZORPAY SETTLEMENT RAZORPAY0863218122764579,6973145.67
SBIN20240110C0240,RAZORPAY6424809624406306,15139.34,2024-01-10,RAZORPAY SETTLEMENT RAZORPAY6424809624406306,6350702.23
KOTAK20240130C0241,RAZORPAY8544577029929596,67423.58,2024-01-30,RAZORPAY SETTLEMENT RAZORPAY8544577029929596,2328482.2
ICICI20240111C0242,RAZORPAY7226408572169666,14897.55,2024-01-11,RAZORPAY SETTLEMENT RAZORPAY7226408572169666,8955012.01
HDFC20240119C0243,RAZORPAY9732781952371006,14770.79,2024-01-19,RAZORPAY SETTLEMENT RAZORPAY9732781952371006,4187641.24
AXIS20240118C0244,RAZORPAY7341517734547574,704.19,2024-01-18,RAZORPAY SETTLEMENT RAZORPAY7341517734547574,9726792.8
HDFC20240119C0245,RAZORPAY5856728727601534,2102.8,2024-01-19,RAZORPAY SETTLEMENT RAZORPAY5856728727601534,7992971.65
KOTAK20240126C0246,RAZORPAY3372094841312840,19915.83,2024-01-26,RAZORPAY SETTLEMENT RAZORPAY3372094841312840,4976790.88
ICICI20240120C0247,RAZORPAY4448354884712705,1255.37,2024-01-20,RAZORPAY SETTLEMENT RAZORPAY4448354884712705,6569557.23
AXIS20240103C0248,RAZORPAY4745245557469660,152914.1,2024-01-03,RAZORPAY SETTLEMENT RAZORPAY4745245557469660,2873411.87
HDFC20240130C0249,RAZORPAY0548574172156229,4033.71,2024-01-30,RAZORPAY SETTLEMENT RAZORPAY0548574172156229,6458178.34
KOTAK20240114FA000,RAZORPAY8085096085874951,15068.68,2024-01-14,RAZORPAY SETTLEMENT RAZORPAY8085096085874951,3008756.5
AXIS20240103FA001,RAZORPAY5624395873959232,12529.1,2024-01-03,RAZORPAY SETTLEMENT RAZORPAY5624395873959232,4441613.86
HDFC20240109FA002,RAZORPAY1128981231795563,1908.92,2024-01-09,RAZORPAY SETTLEMENT RAZORPAY1128981231795563,5689334.56
KOTAK20240129FA003,RAZORPAY0093459626228225,504.49,2024-01-29,RAZORPAY SETTLEMENT RAZORPAY0093459626228225,4460116.72
HDFC20240127FA004,RAZORPAY7742585917793238,388734.37,2024-01-27,RAZORPAY SETTLEMENT RAZORPAY7742585917793238,9797353.13
AXIS20240111FA005,RAZORPAY3265097753967379,1614.81,2024-01-11,RAZORPAY SETTLEMENT RAZORPAY3265097753967379,4418024.66
SBIN20240102FA006,RAZORPAY8268323035892988,67973.54,2024-01-02,RAZORPAY SETTLEMENT RAZORPAY8268323035892988,2588159.49
ICICI20240112FA007,RAZORPAY9910622723626693,10932.61,2024-01-12,RAZORPAY SETTLEMENT RAZORPAY9910622723626693,9499930.3
KOTAK20240103FA008,RAZORPAY7692743811995376,2030.95,2024-01-03,RAZORPAY SETTLEMENT RAZORPAY7692743811995376,1167197.02
ICICI20240122FA009,RAZORPAY1135996605779806,315933.54,2024-01-22,RAZORPAY SETTLEMENT RAZORPAY1135996605779806,7432977.23
HDFC20240114FA010,RAZORPAY7155983541165972,379055.72,2024-01-14,RAZORPAY SETTLEMENT RAZORPAY7155983541165972,9220457.43
ICICI20240119FA011,RAZORPAY4991537038240733,2355.8,2024-01-19,RAZORPAY SETTLEMENT RAZORPAY4991537038240733,862700.44
ICICI20240122TD000,RAZORPAY3892187851935837,11077.96,2024-01-22,RAZORPAY SETTLEMENT RAZORPAY3892187851935837,2402387.06
SBIN20240116TD001,RAZORPAY6289509059119186,262396.58,2024-01-16,RAZORPAY SETTLEMENT RAZORPAY6289509059119186,4572102.18
KOTAK20240124TD002,RAZORPAY9080512080056409,737.91,2024-01-24,RAZORPAY SETTLEMENT RAZORPAY9080512080056409,9012282.96
KOTAK20240107TD003,RAZORPAY9578671815352373,18645.67,2024-01-07,RAZORPAY SETTLEMENT RAZORPAY9578671815352373,6135666.04
ICICI20240112TD004,RAZORPAY4080314998250800,2423.31,2024-01-12,RAZORPAY SETTLEMENT RAZORPAY4080314998250800,9872146.39
AXIS20240106TD005,RAZORPAY6022939469434606,199906.55,2024-01-06,RAZORPAY SETTLEMENT RAZORPAY6022939469434606,9507069.84
KOTAK20240105TD006,RAZORPAY2807711306211369,15811.92,2024-01-05,RAZORPAY SETTLEMENT RAZORPAY2807711306211369,5612846.0
HDFC20240114TD007,RAZORPAY0116880925502130,2358.8,2024-01-14,RAZORPAY SETTLEMENT RAZORPAY0116880925502130,9991490.76
SBIN20240123TD008,RAZORPAY0642076836253666,198205.99,2024-01-23,RAZORPAY SETTLEMENT RAZORPAY0642076836253666,2250063.57
ICICI20240118TD009,RAZORPAY6862703692492693,6649.07,2024-01-18,RAZORPAY SETTLEMENT RAZORPAY6862703692492693,2968436.38
HDFC20240105BA000,BATCH1822261896288743,530107.51,2024-01-05,RAZORPAY BATCH SETTLEMENT BATCH1822261896288743,8126475.32
KOTAK20240106BA001,BATCH1312512931100591,42844.04,2024-01-06,RAZORPAY BATCH SETTLEMENT BATCH1312512931100591,6939559.72
HDFC20240122BA002,BATCH6775677722660256,288136.35,2024-01-22,RAZORPAY BATCH SETTLEMENT BATCH6775677722660256,7722462.34
KOTAK20240112BA003,BATCH2507330559782457,215372.99,2024-01-12,RAZORPAY BATCH SETTLEMENT BATCH2507330559782457,519708.84
SBIN20240125DU000,RAZORPAY7681699570607174,9309.01,2024-01-25,RAZORPAY SETTLEMENT RAZORPAY7681699570607174,2606722.62
SBIN20240125DU000B,RAZORPAY7681699570607174,9309.01,2024-01-25,RAZORPAY SETTLEMENT RAZORPAY7681699570607174,1264918.81
SBIN20240117DU001,RAZORPAY7420495612137730,7110.89,2024-01-17,RAZORPAY SETTLEMENT RAZORPAY7420495612137730,2861131.84
SBIN20240117DU001B,RAZORPAY7420495612137730,7110.89,2024-01-17,RAZORPAY SETTLEMENT RAZORPAY7420495612137730,5617087.43
AXIS20240107DU002,RAZORPAY4576832102192378,4191.02,2024-01-07,RAZORPAY SETTLEMENT RAZORPAY4576832102192378,5575022.19
AXIS20240107DU002B,RAZORPAY4576832102192378,4191.02,2024-01-07,RAZORPAY SETTLEMENT RAZORPAY4576832102192378,6307594.98
SBIN20240122DU003,RAZORPAY2821781923653460,61837.08,2024-01-22,RAZORPAY SETTLEMENT RAZORPAY2821781923653460,3758259.17
SBIN20240122DU003B,RAZORPAY2821781923653460,61837.08,2024-01-22,RAZORPAY SETTLEMENT RAZORPAY2821781923653460,3993346.7
